trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_girgis_scaled,theta_hat_kent_orig,theta_hat_dame_orig,theta_hat_girgis_orig,scaled_mse_kent,scaled_mse_dame,scaled_mse_girgis,orig_mse_kent,orig_mse_dame,orig_mse_girgis,time_kent_s,time_dame_s,time_girgis_s,status
10,62164594,40,15,0.6,0.16448182456565377,-0.19442830137789585,-0.6046325284653473,565.3559258266249,391.1050596810316,191.95090743007387,0.12555516546592999,2.0907597441271953e-05,0.172039718927629,29594.639440765724,4.928135019781449,40551.525158361175,0.0006310939788818359,0.00023221969604492188,0.0036530494689941406,ok
11,1268433720,40,15,0.6,-0.2,-0.019789187766130503,-0.3603484071370674,388.40000000000003,475.89234933954367,310.5508483349538,0.00010290441336344012,0.028922658972014334,0.029067722697116778,24.25562499999955,6817.367176958244,6851.560183868069,0.0005650520324707031,0.00021409988403320312,0.004243373870849609,ok
12,2329112794,40,15,0.6,0.2217042497919272,0.2165234917019507,-0.6946653718000151,593.1374132739807,590.6221552212971,148.23996199109268,0.1693816900129377,0.16514414395817154,0.2548326848570545,39925.00049837204,38926.16745841662,60066.67585582754,0.0005285739898681641,0.00018024444580078125,0.002462148666381836,ok
13,3426927916,40,15,0.6,0.415807842440323,-0.0834565078968683,-0.5,687.3747075047768,444.98186541607043,242.75,0.3668284704786695,0.011320813348651646,0.0961894131672254,86465.23048364479,2668.431744614015,22672.830624999995,0.0004153251647949219,0.0001533031463623047,0.0023212432861328125,ok
14,2375343576,40,15,0.6,0.11343288578545722,-0.43238813548903376,0.6207608065298412,540.5716660488395,275.5755602200741,786.8793715702379,0.09198403829489157,0.058821924665925174,0.6570993131696433,21681.580662498454,13864.930568486388,154885.0433820449,0.0004291534423828125,0.00014853477478027344,0.0026705265045166016,ok
15,3524201801,40,15,0.6,0.2,-0.13068387685572178,-0.7482090430989162,582.6,422.05297778654705,122.24450957547617,0.15198755940821415,0.0035013187067781046,0.311758323148019,35825.02562500001,825.2967077043412,73484.63228880035,0.0003936290740966797,0.00014328956604003906,0.0019767284393310547,ok
16,1699284697,40,15,0.6,0.5,0.2860657358690833,0.2762874334854947,728.25,624.3849147644399,619.6375489572077,0.4759010506543522,0.22650132614491844,0.2172895315986833,112174.755625,53388.684210950254,51217.36981550856,0.00038123130798339844,0.00013947486877441406,0.001972675323486328,ok
17,3788744959,40,15,0.6,0.031900234468482155,-0.4964857698334626,-0.483751971596768,500.9875638344481,244.4561587458539,250.63841778976914,0.04917574713618358,0.09402192690539399,0.08637494866191422,11591.227651406616,22161.931896352144,20359.460742836967,0.0003650188446044922,0.0001354217529296875,0.002331256866455078,ok
18,317130537,40,15,0.6,0.1,-0.18275434583192443,-0.20292170038049825,534.0500000000001,396.7727650986007,386.9815144652681,0.08401639565950146,5.043091751474187e-05,0.00017071726295039177,19803.525625000024,11.887084175129177,40.239808729352646,0.00044274330139160156,0.00015974044799804688,0.0027556419372558594,ok
19,1568852594,40,15,0.6,-0.23564515972219785,-0.0005720078272300367,-0.8145917987043105,371.09427495487296,485.22229019987986,90.01568172905723,0.0020966637472576532,0.03582836107501023,0.3902950446575151,494.20513603203824,8445.111946080939,91996.54254998405,0.0003981590270996094,0.00015115737915039062,0.0020248889923095703,ok
20,339027885,40,15,0.6,0.2,-0.3571210372385234,0.5566394981480907,582.6,312.1177364206969,755.748476350898,0.15198755940821415,0.027977653318166713,0.557255258141171,35825.02562500001,6594.61965803841,131350.77621026995,0.0003886222839355469,0.00016307830810546875,0.0036928653717041016,ok
21,3008991202,40,15,0.6,-0.506622216277475,-0.04928279109184587,-0.8034106177097284,239.5349139972859,461.57320492490885,95.44414510192685,0.10034095060661209,0.019760776103170542,0.3764494913344112,23651.39055272219,4657.817475472354,88733.00371480691,0.0004639625549316406,0.00018334388732910156,0.001990079879760742,ok
22,304902015,40,15,0.6,-0.2,0.308702830088202,0.5975542328316926,388.40000000000003,635.3752240078221,775.6125800397868,0.00010290441336344012,0.24856072632495554,0.6200145893217474,24.25562499999955,58588.31094223687,146143.79385267643,0.000370025634765625,0.0001430511474609375,0.001981973648071289,ok
23,1687870297,40,15,0.6,-0.1,0.03761564124555061,-0.19503684000976806,436.95,503.7623938247148,390.8096141752576,0.008074068162076117,0.05174326510957909,2.6842981360865118e-05,1903.140625,12196.41795479516,6.327165847314981,0.0003669261932373047,0.00014448165893554688,0.002705097198486328,ok
24,3286340258,40,15,0.6,0.03223119199801592,-0.1159544014734308,-0.361053402008056,501.1482437150367,429.20413808464934,310.2085733250888,0.04932264034013036,0.005461419474534252,0.029308612515602888,11625.851885232203,1287.3125496973357,6908.340383205885,0.0004267692565917969,0.00015163421630859375,0.002003908157348633,ok
25,3385996787,40,15,0.6,-0.21473148099707143,-0.1022170226864541,-0.2091069678158549,381.24786597592185,435.87363548572654,383.97856712540244,0.0006187985725506047,0.007680558574339593,0.00037060674060358995,145.85716623554572,1810.3863816972287,87.35580747935789,0.00040435791015625,0.0001475811004638672,0.0020236968994140625,ok
