trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_girgis_scaled,theta_hat_kent_orig,theta_hat_dame_orig,theta_hat_girgis_orig,scaled_mse_kent,scaled_mse_dame,scaled_mse_girgis,orig_mse_kent,orig_mse_dame,orig_mse_girgis,time_kent_s,time_dame_s,time_girgis_s,status
142,2829180686,1584,249,0.6,-0.03343608486070555,0.0009785988555235988,0.20329094150126562,-0.4424079056360335,-0.3094936025465249,0.47186485045834203,0.013069796540244573,0.006385372709521077,0.014982694050613475,0.19495065500707773,0.09524498628210133,0.22348366402979122,0.01047515869140625,0.0011310577392578125,0.1014866828918457,ok
143,806406802,1584,249,0.6,-0.0026046657731769764,-0.0012664164826418686,0.25662259829793416,-0.3233326697550498,-0.3181641645530795,0.677839139055255,0.006970879292577704,0.006749204541544116,0.030882956225709867,0.10397847280014852,0.10067194558838535,0.4606538844134449,0.020856380462646484,0.0026788711547851562,0.11337518692016602,ok
144,2225165855,1584,249,0.6,0.01920803746890388,0.03367941179941417,0.232084922638079,-0.23908897093668102,-0.18319850715246444,0.5830712171223258,0.003804309961348745,0.0022285682795252317,0.022860773709872034,0.05674554431900967,0.03324159213065375,0.34099404646315523,0.008533239364624023,0.001013040542602539,0.09331822395324707,ok
145,1112582009,1584,249,0.6,-0.020682629173398793,0.08704929594058781,0.23957005961717445,-0.39315228298848526,0.02292342077467513,0.6119798589482803,0.0103164151648676,3.797233844442565e-05,0.02518027342309702,0.15388088770341735,0.0005663999610932508,0.3755919827806458,0.008710861206054688,0.0009143352508544922,0.09729290008544922,ok
146,94976040,1584,249,0.6,0.003408907340959425,0.01975259502124836,0.18968692985586258,-0.30010741259058227,-0.2369858138029759,0.4193242622030562,0.006002874365726373,0.003737430877319883,0.011837397320270221,0.08953959504419746,0.05574796786879082,0.17656804021851505,0.014340639114379883,0.0011594295501708984,0.09863424301147461,ok
147,1614751436,1584,249,0.6,-0.02003444078521324,-0.019327370935536527,0.21363604912886106,-0.3906488891291433,-0.387918086862288,0.5118190973735741,0.010185162641272812,0.010042945394940985,0.017622276593331588,0.1519231092967414,0.14980177976874756,0.26285599427713935,0.009182214736938477,0.0013167858123779297,0.09693455696105957,ok
148,611579785,1584,249,0.6,0.03847203641064923,0.02365612153578779,0.2556179000280004,-0.1646887232060399,-0.22190985057316537,0.673958854364435,0.0017990398244063768,0.003275387871353529,0.030530843394344975,0.026834694103453675,0.048856078895827895,0.45540172712854626,0.009084463119506836,0.0013289451599121094,0.08896899223327637,ok
149,775331088,1584,249,0.6,-0.08973505187903094,0.04634158019366796,0.2507892632659408,-0.6598423597080654,-0.1342954487486301,0.6553099864743928,0.029111927582308003,0.0011933947346776212,0.02886673624940235,0.4342370084502751,0.017800819201049766,0.4305797050787324,0.009699821472167969,0.0010461807250976562,0.11539220809936523,ok
150,3557155450,1584,249,0.6,0.00190902649203064,0.05716098968308234,0.27185313813267814,-0.30590016138921916,-0.09250938196437009,0.7366616057820767,0.006237540201022492,0.0005629295442681341,0.03646801779195749,0.09303989882917911,0.008396724695750594,0.543961333557137,0.010764122009277344,0.0012328624725341797,0.10589003562927246,ok
151,552368652,1584,249,0.6,-0.0019520510037302412,0.04589523562361497,0.24095527766148442,-0.3208121805946038,-0.13601929366191,0.617329764020913,0.006862329245744685,0.0012244323917282762,0.025621813178083628,0.10235932726364501,0.018263780621549045,0.38217804279935125,0.010495424270629883,0.0012629032135009766,0.10863327980041504,ok
